"country","state","city","year","long","lat","genus","species_botanical_name","species_common_name","dbh","volume_m3","wood_den_factor_kgm3","dry_weight_kg","carbon_kg","co2_kg","ndvi_2015","ndvi_2016","ndvi_2017","ndvi_2018","ndvi_2019","ndvi_2020","ndvi_2021","ndvi_2022","ndvi_2023","geometry","unique_id"
"usa","texas","dallas",2022,-96.76384528,32.99119377,"platanus","platanus occidentalis","sycamore",2.54,0.00244332295968519,460,1.12392856145519,0.561964280727593,2.06240891027027,0.427263259887695,0.151651650667191,0.181245923042297,0.477628022432327,0.509444415569305,0.535851120948792,0.403322249650955,0.411734700202942,0.476766705513,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.7638971749778,32.99114925900692],[-96.76379059090497,32.99114925900692],[-96.76379059090497,32.99123923037553],[-96.7638971749778,32.99123923037553],[-96.7638971749778,32.99114925900692]]]}",1
"usa","texas","dallas",2022,-96.81724376,32.89493921,"liquidambar","liquidambar styraciflua","american sweetgum",54.61,2.24273691698133,460,1031.65898181141,515.829490905706,1893.09423162394,0.494106084108353,0.602841258049011,0.525684952735901,0.541678130626678,0.62286102771759,0.598925709724426,0.544404625892639,0.588674545288086,0.570028841495514,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.81729485220244,32.89489510366724],[-96.81718838409414,32.89489510366724],[-96.81718838409414,32.894985075035855],[-96.81729485220244,32.894985075035855],[-96.81729485220244,32.89489510366724]]]}",2
"usa","texas","dallas",2022,-96.79741155,32.6821045,"fraxinus","fraxinus pennsylvanica","green ash",84.455,10.4684413720915,530,5548.2739272085,2774.13696360425,10181.0826564276,0.527607381343842,0.691237092018127,0.587392568588257,0.695108711719513,0.719163000583649,0.726052761077881,0.661133050918579,0.660492599010468,0.641450762748718,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.79746510278692,32.68205775128521],[-96.79735888914365,32.68205775128521],[-96.79735888914365,32.68214772265382],[-96.79746510278692,32.68214772265382],[-96.79746510278692,32.68205775128521]]]}",3
"usa","texas","dallas",2022,-96.79249084,32.95562374,"ulmus","ulmus crassifolia","cedar elm",2.54,0.00244332295968519,628,1.5344068186823,0.767203409341148,2.81563651228201,0.566255450248718,0.575875461101532,0.577244520187378,0.629325091838837,0.699999988079071,0.647169828414917,0.648628056049347,0.662078440189362,0.588396966457367,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.79254241871986,32.95557900990357],[-96.79243587756561,32.95557900990357],[-96.79243587756561,32.95566898127219],[-96.79254241871986,32.95566898127219],[-96.79254241871986,32.95557900990357]]]}",4
"usa","texas","dallas",2022,-96.6412039,32.7163581,"ilex","ilex spp.","holly spp.",5.08,0.0121214599928885,460,5.57587159672873,2.78793579836437,10.2317243799972,0.630045413970947,0.698767900466919,0.576724112033844,0.695906460285187,0.671482086181641,0.721388578414917,0.679338097572327,0.696498036384583,0.689192235469818,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.64125835413805,32.71631256557777],[-96.64115209972137,32.71631256557777],[-96.64115209972137,32.71640253694639],[-96.64125835413805,32.71640253694639],[-96.64125835413805,32.71631256557777]]]}",6
"usa","texas","dallas",2022,-96.87827031,32.84995998,"fraxinus","fraxinus pennsylvanica","green ash",40.64,2.08496288211667,530,1105.03032752184,552.515163760918,2027.73065100257,0.689218401908875,0.752637147903442,0.693304538726807,0.696460723876953,0.748031497001648,0.734670460224152,0.724570393562317,0.691647827625275,0.67486983537674,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.87832208226264,32.849916151341134],[-96.87821566815445,32.849916151341134],[-96.87821566815445,32.85000612270974],[-96.87832208226264,32.85000612270974],[-96.87832208226264,32.849916151341134]]]}",7
"usa","texas","dallas",2022,-96.72959338,32.70828885,"fraxinus","fraxinus pennsylvanica","green ash",27.94,0.912266883119545,530,483.501448053359,241.750724026679,887.225157177913,0.751904904842377,0.768167853355408,0.779332876205444,0.792360424995422,0.755569279193878,0.801749289035797,0.767172396183014,0.81089323759079,0.747877538204193,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.72964665042316,32.70824605177209],[-96.72954040561427,32.70824605177209],[-96.72954040561427,32.70833602314071],[-96.72964665042316,32.70833602314071],[-96.72964665042316,32.70824605177209]]]}",8
"usa","texas","dallas",2022,-96.87850683,32.85046523,"fraxinus","fraxinus pennsylvanica","green ash",22.86,0.585960879065754,530,310.55926590485,155.279632952425,569.876252935399,0.295238107442856,0.626946270465851,0.603512525558472,0.65730482339859,0.67627364397049,0.62825483083725,0.583607375621796,0.61121016740799,0.61468893289566,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.87855841492012,32.85042002976017],[-96.87845200020767,32.85042002976017],[-96.87845200020767,32.85051000112878],[-96.87855841492012,32.85051000112878],[-96.87855841492012,32.85042002976017]]]}",9
"usa","texas","dallas",2022,-96.8823663,32.84350198,"fraxinus","fraxinus pennsylvanica","green ash",33.02,1.31876885273041,530,698.947491947117,349.473745973559,1282.56864772296,0.69147789478302,0.754916787147522,0.773701667785645,0.777777791023254,0.783157348632812,0.768232643604279,0.78975385427475,0.781982362270355,0.760977804660797,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.88241999226327,32.84345491391468],[-96.88231358590235,32.84345491391468],[-96.88231358590235,32.8435448852833],[-96.88241999226327,32.8435448852833],[-96.88241999226327,32.84345491391468]]]}",10
"usa","texas","dallas",2022,-96.8801821,32.78839263,"fraxinus","fraxinus americana","white ash",30.48,0.761356017621788,550,418.745809691983,209.372904845992,768.39856078479,0.450044214725494,0.657579064369202,0.612080216407776,0.708585262298584,0.693889200687408,0.715140640735626,0.65914785861969,0.665347039699554,0.684100389480591,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.88023499981298,32.7883493430962],[-96.8801286594248,32.7883493430962],[-96.8801286594248,32.78843931446481],[-96.88023499981298,32.78843931446481],[-96.88023499981298,32.7883493430962]]]}",11
