"country","state","city","year","long","lat","genus","species_botanical_name","species_common_name","dbh","volume_m3","wood_den_factor_kgm3","dry_weight_kg","carbon_kg","co2_kg","ndvi_2015","ndvi_2016","ndvi_2017","ndvi_2018","ndvi_2019","ndvi_2020","ndvi_2021","ndvi_2022","ndvi_2023","geometry","unique_id"
"usa","georgia","atlanta",2015,-84.38923141,33.75596866,"zelkova","zelkova serrata","japanese zelkova",20.32,0.158154589349886,593.070272373541,93.7967853828626,46.8983926914313,172.117101177553,0.486929565668106,0.290571868419647,0.526899635791779,0.496922224760056,0.553728699684143,0.650450468063354,0.598962187767029,0.646609902381897,0.535966157913208,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.3892857838206,33.75592522158236],[-84.38917825845913,33.75592522158236],[-84.38917825845913,33.75601519295098],[-84.3892857838206,33.75601519295098],[-84.3892857838206,33.75592522158236]]]}",1
"usa","georgia","atlanta",2015,-84.38927763,33.75601518,"zelkova","zelkova serrata","japanese zelkova",17.78,0.110654080256356,593.070272373541,65.6256455168804,32.8128227584402,120.423059523476,0.267824500799179,0.15118496119976,0.280195862054825,0.251418709754944,0.294478535652161,0.325714290142059,0.260083436965942,0.393021732568741,0.215587675571442,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.38933037485904,33.755969812592895],[-84.38922284944165,33.755969812592895],[-84.38922284944165,33.75605978396151],[-84.38933037485904,33.75605978396151],[-84.38933037485904,33.755969812592895]]]}",2
"usa","georgia","atlanta",2015,-84.38959616,33.75628416,"zelkova","zelkova serrata","japanese zelkova",25.4,0.287271494990045,593.070272373541,170.3721837789,85.1860918894502,312.632957234282,0.129673287272453,0.14872208237648,0.185260996222496,0.194915249943733,0.154729723930359,0.233281150460243,0.266016125679016,0.138876989483833,0.282919704914093,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.38965143030241,33.7562373586561],[-84.38954390454944,33.7562373586561],[-84.38954390454944,33.75632733002472],[-84.38965143030241,33.75632733002472],[-84.38965143030241,33.7562373586561]]]}",3
"usa","georgia","atlanta",2015,-84.38910529,33.75693256,"zelkova","zelkova serrata","japanese zelkova",25.4,0.287271494990045,593.070272373541,170.3721837789,85.1860918894502,312.632957234282,0.147016018629074,0.46256485581398,0.433634728193283,0.40900444984436,0.506567299365997,0.459005385637283,0.522751331329346,0.498048394918442,0.482476264238358,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.38916092959418,33.7568883874099],[-84.38905340302463,33.7568883874099],[-84.38905340302463,33.756978358778525],[-84.38916092959418,33.756978358778525],[-84.38916092959418,33.7568883874099]]]}",5
"usa","georgia","atlanta",2015,-84.38973257,33.75648758,"zelkova","zelkova serrata","japanese zelkova",27.94,0.370687472267276,593.070272373541,219.843720143013,109.921860071507,403.413226462429,-0.0882917493581772,0.351924151182175,0.322270750999451,0.41954231262207,0.386915892362595,0.284942448139191,0.115245006978512,0.39653342962265,0.204349219799042,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.38978520346244,33.75644247730457],[-84.38967767745221,33.75644247730457],[-84.38967767745221,33.756532448673184],[-84.38978520346244,33.756532448673184],[-84.38978520346244,33.75644247730457]]]}",13
"usa","georgia","atlanta",2015,-84.38976664,33.75651795,"zelkova","zelkova serrata","japanese zelkova",22.86,0.216721683839791,593.070272373541,128.531188064117,64.2655940320586,235.854730097655,-0.0882917493581772,0.351924151182175,0.322270750999451,0.41954231262207,0.386915892362595,0.284942448139191,0.115245006978512,0.39653342962265,0.204349219799042,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.38982087629044,33.75647369101194],[-84.38971335024104,33.75647369101194],[-84.38971335024104,33.75656366238056],[-84.38982087629044,33.75656366238056],[-84.38982087629044,33.75647369101194]]]}",14
"usa","georgia","atlanta",2015,-84.39018237,33.75683942,"zelkova","zelkova serrata","japanese zelkova",30.48,0.467824677249257,593.070272373541,277.45290875928,138.72645437964,509.12608757328,0.388656705617905,0.337487697601318,0.49111470580101,0.441860467195511,0.439597308635712,0.522211253643036,0.436643123626709,0.501523852348328,0.408913224935532,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.39023557288942,33.75679474628779],[-84.39012804643735,33.75679474628779],[-84.39012804643735,33.756884717656405],[-84.39023557288942,33.756884717656405],[-84.39023557288942,33.75679474628779]]]}",15
"usa","georgia","atlanta",2015,-84.39014589,33.75680503,"zelkova","zelkova serrata","japanese zelkova",30.48,0.467824677249257,593.070272373541,277.45290875928,138.72645437964,509.12608757328,0.334175080060959,0.320172011852264,0.372625201940536,0.429695188999176,0.430323034524918,0.330178260803223,0.184115529060364,0.33186462521553,0.213120833039284,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.39019990005866,33.75675907347935],[-84.39009237365133,33.75675907347935],[-84.39009237365133,33.756849044847975],[-84.39019990005866,33.756849044847975],[-84.39019990005866,33.75675907347935]]]}",16
"usa","georgia","atlanta",2015,-84.39015843,33.75697323,"magnolia","magnolia soulangeana","saucer magnolia",10.16,0.060135231724802,760,45.7027761108495,22.8513880554248,83.8645941634089,0.311962485313416,0.390170514583588,0.384750723838806,0.425053536891937,0.463574200868607,0.390250205993652,0.367178291082382,0.460781693458557,0.389768570661545,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.39021327746792,33.756928519319395],[-84.39010575084805,33.756928519319395],[-84.39010575084805,33.75701849068801],[-84.39021327746792,33.75701849068801],[-84.39021327746792,33.756928519319395]]]}",27
"usa","georgia","atlanta",2015,-84.39029654,33.7568919,"ulmus","ulmus parvifolia","chinese elm",5.08,0.0050334801719379,773,3.890880172908,1.945440086454,7.13976511728618,0.0996563583612442,0.162861496210098,0.217688530683517,0.309226274490356,0.253074735403061,0.307456582784653,0.226300925016403,0.294206172227859,0.334476858377457,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.39035150955031,33.75684825550042],[-84.39024398303113,33.75684825550042],[-84.39024398303113,33.756938226869046],[-84.39035150955031,33.756938226869046],[-84.39035150955031,33.75684825550042]]]}",28
